activity_date,customer_id,sales_organization_id,total_sales_amount,total_cases,total_stops,hotshots,off_day_deliveries,driver_labor_cost,overtime_cost,fuel_cost,vehicle_operating_cost,delivery_handling_cost,hotshot_cost,off_day_delivery_cost,other_operational_cost,total_operational_cost
2024-01-01,CUST000018,SO0010,1096.9,66.57,1,0,0,46.54,6.01,10.02,24.99,25.49,0,0,8.4,121.45
2024-01-01,CUST000034,SO0025,1670.28,67.44,1,0,0,49.8,12.7,24.95,32.19,14.19,0,0,10.49,144.32
2024-01-01,CUST000064,SO0041,649.76,26.28,1,0,0,47.87,1.93,23.21,16.22,10.65,0,0,6.94,106.82
2024-01-01,CUST000082,SO0039,1665.24,81.69,1,0,0,29.84,7.15,17.54,11.36,29.67,0,0,2.36,97.92
2024-01-01,CUST000087,SO0032,2575.75,110.02,1,0,0,50.12,0.6,19.56,28.49,49.88,0,0,9.76,158.41
2024-01-01,CUST000093,SO0005,2360.77,116.03,1,0,0,47.02,10.64,8.7,30.76,40.03,0,0,8.9,146.05
2024-01-01,CUST000151,SO0019,1900.55,106.66,1,0,0,43.15,9.16,17.89,15.71,49.21,0,0,10.29,145.41
2024-01-01,CUST000153,SO0048,1454.41,53.53,1,0,1,41.78,13.36,17.8,23.16,11.86,0,110,10.29,228.25
2024-01-01,CUST000202,SO0009,1349.31,52.05,1,0,0,31.34,2.44,9.23,19.37,10.81,0,0,10.35,83.54
2024-01-01,CUST000229,SO0013,272.12,13.56,1,0,0,47.96,8.49,14.02,32.68,5.33,0,0,3.22,111.7
2024-01-01,CUST000241,SO0017,3230.15,140.05,1,0,0,37.69,3.81,15.32,10.3,38.04,0,0,2.53,107.69
2024-01-01,CUST000325,SO0037,1429.94,79.69,1,0,0,45.22,6.63,14.55,30.21,25.77,0,0,4.13,126.51
2024-01-01,CUST000334,SO0025,957.43,61.51,1,0,0,37.03,4.65,14.24,27.01,24.09,0,0,2.92,109.94
2024-01-01,CUST000359,SO0016,5253.28,205.73,1,0,0,42.5,9.37,9.85,25.93,59.59,0,0,7.86,155.1
2024-01-01,CUST000366,SO0011,2251.78,107.99,1,0,0,37.88,13.99,14.5,31.15,32.85,0,0,4.19,134.56
2024-01-01,CUST000402,SO0017,328.28,18.5,1,0,0,47.09,2.24,11.82,19.63,4.56,0,0,9.56,94.9
2024-01-01,CUST000517,SO0021,2020.6,85.87,1,0,0,35.9,7.36,22.09,20.97,39.56,0,0,2.25,128.13
2024-01-01,CUST000545,SO0033,1257.93,62.47,1,0,0,36.37,12.2,12.45,23.65,23.65,0,0,11.54,119.86
2024-01-01,CUST000556,SO0036,1466.56,66.07,1,0,0,51.6,13.13,13.53,31.87,35.99,0,0,2.21,148.33
2024-01-01,CUST000575,SO0017,1052.29,64.57,1,0,1,51.59,4.29,17.23,22.87,22.5,0,110,7.92,236.4
2024-01-01,CUST000585,SO0028,1337.8,48.46,1,0,0,30.19,10.15,18.42,29.8,18.38,0,0,2.15,109.09
2024-01-01,CUST000614,SO0031,886.72,48.98,1,0,1,36.08,0.4,16.41,30.43,25.11,0,110,11.37,229.8
2024-01-01,CUST000630,SO0020,1428.39,55.87,1,0,0,34.55,4.02,22.59,11.14,29.56,0,0,10.25,112.11
2024-01-01,CUST000633,SO0006,4498.16,193.96,1,0,0,41.95,3.54,16.05,32.44,42.92,0,0,3.84,140.74
2024-01-01,CUST000634,SO0021,3893.43,151.21,1,0,0,50.53,7.63,8.99,14.05,46.82,0,0,11.88,139.9
2024-01-01,CUST000635,SO0012,4340.47,163.57,1,0,0,37.3,13.75,20.04,18.86,30.66,0,0,11.98,132.59
2024-01-01,CUST000675,SO0014,2487.54,95.22,1,0,0,36.13,5.41,11.54,10.67,43.22,0,0,6.59,113.56
2024-01-01,CUST000679,SO0035,596.15,25.55,1,0,0,35.46,13.97,24.91,33.32,9.7,0,0,6.41,123.77
2024-01-01,CUST000694,SO0010,2086.29,105.3,1,0,0,30.72,11.18,9.39,20.36,50.28,0,0,7.15,129.08
2024-01-01,CUST000695,SO0035,1339.42,60.96,1,0,0,37.38,12.84,18.02,29.52,20.06,0,0,7.63,125.45
2024-01-01,CUST000792,SO0044,1829.93,73.18,1,0,0,48.93,1.96,19.49,31.55,31.13,0,0,5.87,138.93
2024-01-01,CUST000821,SO0006,756.16,36.59,1,0,0,42.58,9.25,16.91,33.75,6.8,0,0,4.37,113.66
