sales_transaction_id,sales_transaction_line_number,delivery_order_id,purchase_date,customer_id,material_id,sales_organization_id,cases_sold,gross_sales_amount,discount_amount,net_sales_amount
SALE0000000001,1,DEL000000001,2025-10-02,CUST001009,MAT00035,SO0006,109.43,2258.29,55.33,2202.96
SALE0000000002,1,DEL000000002,2026-03-06,CUST002011,MAT00024,SO0011,1.98,31.93,0.04,31.89
SALE0000000002,2,DEL000000002,2026-03-06,CUST002011,MAT00020,SO0011,50.67,886.74,5.29,881.45
SALE0000000003,1,DEL000000003,2024-11-29,CUST000176,MAT00003,SO0005,9.8,198.52,5.62,192.9
SALE0000000003,2,DEL000000003,2024-11-29,CUST000176,MAT00006,SO0005,2.56,46.26,1.28,44.98
SALE0000000003,3,DEL000000003,2024-11-29,CUST000176,MAT00008,SO0005,3.79,89.42,0.45,88.97
SALE0000000003,4,DEL000000003,2024-11-29,CUST000176,MAT00024,SO0005,35.28,785.77,38.72,747.05
SALE0000000004,1,DEL000000004,2025-12-18,CUST001008,MAT00020,SO0021,34.9,642.03,24.86,617.17
SALE0000000004,2,DEL000000004,2025-12-18,CUST001008,MAT00014,SO0021,25.76,633.83,44.62,589.21
SALE0000000005,1,DEL000000005,2026-07-22,CUST002343,MAT00022,SO0018,19.82,316.43,10.5,305.93
SALE0000000005,2,DEL000000005,2026-07-22,CUST002343,MAT00002,SO0018,49.56,894.22,13.19,881.03
SALE0000000006,1,DEL000000006,2024-02-11,CUST000512,MAT00030,SO0027,29.28,707.2,37.47,669.73
SALE0000000006,2,DEL000000006,2024-02-11,CUST000512,MAT00020,SO0027,7.71,158.94,6.12,152.82
SALE0000000006,3,DEL000000006,2024-02-11,CUST000512,MAT00018,SO0027,4.39,82.39,5.06,77.33
SALE0000000006,4,DEL000000006,2024-02-11,CUST000512,MAT00028,SO0027,4.94,120.91,6.11,114.8
SALE0000000007,1,DEL000000007,2024-12-24,CUST000778,MAT00035,SO0047,50.9,830.41,3.1,827.31
SALE0000000007,2,DEL000000007,2024-12-24,CUST000778,MAT00034,SO0047,137.23,2776.86,219.12,2557.74
SALE0000000007,3,DEL000000007,2024-12-24,CUST000778,MAT00009,SO0047,0.98,25.82,2.01,23.81
SALE0000000008,1,DEL000000008,2024-08-31,CUST001306,MAT00015,SO0011,13.47,243.75,9.13,234.62
SALE0000000008,2,DEL000000008,2024-08-31,CUST001306,MAT00020,SO0011,45.28,1170.68,7.27,1163.41
SALE0000000008,3,DEL000000008,2024-08-31,CUST001306,MAT00013,SO0011,9.75,172.11,6.05,166.06
SALE0000000008,4,DEL000000008,2024-08-31,CUST001306,MAT00006,SO0011,16.36,365.86,16.12,349.74
SALE0000000009,1,DEL000000009,2025-02-09,CUST002046,MAT00029,SO0031,77.0,1364.47,8.19,1356.28
SALE0000000010,1,DEL000000010,2025-01-29,CUST000503,MAT00012,SO0034,43.83,646.42,20.85,625.57
SALE0000000010,2,DEL000000010,2025-01-29,CUST000503,MAT00019,SO0034,7.11,146.13,9.46,136.67
