customer_id,customer_name,customer_category,sales_organization_id,area_sales_manager_id,area_sales_manager_name,market_development_manager_id,market_development_manager_name,current_weekly_frequency,customer_latitude,customer_longitude,customer_status,active_flag
CUST000001,Corner Stop 0001,Restaurant,SO0041,ASM011,Area Sales Manager 011,MDM002,Market Development Manager 002,3,33.936613,-84.152859,Active,True
CUST000002,Pioneer Retail 0002,Retail,SO0002,ASM001,Area Sales Manager 001,MDM003,Market Development Manager 003,5,40.79276,-111.970061,Active,True
CUST000003,Metro Foods 0003,Retail,SO0016,ASM005,Area Sales Manager 005,MDM004,Market Development Manager 004,3,45.735049,-122.483952,Active,True
CUST000004,Corner Stop 0004,Convenience Retail,SO0009,ASM003,Area Sales Manager 003,MDM005,Market Development Manager 005,4,47.723077,-122.546923,Active,True
CUST000005,Mountain Club 0005,Convenience Retail,SO0044,ASM012,Area Sales Manager 012,MDM006,Market Development Manager 006,1,33.968613,-84.400481,Active,True
CUST000006,Central Dining 0006,Restaurant,SO0006,ASM002,Area Sales Manager 002,MDM007,Market Development Manager 007,2,40.044835,-105.028932,Active,True
CUST000007,Summit Market 0007,Restaurant,SO0028,ASM008,Area Sales Manager 008,MDM008,Market Development Manager 008,2,32.909777,-96.705639,Active,True
CUST000008,Corner Stop 0008,Retail,SO0002,ASM001,Area Sales Manager 001,MDM009,Market Development Manager 009,3,41.296212,-111.992604,Active,True
CUST000009,Metro Foods 0009,Retail,SO0014,ASM004,Area Sales Manager 004,MDM010,Market Development Manager 010,2,45.669195,-122.396157,Active,True
CUST000010,Central Dining 0010,Retail,SO0033,ASM009,Area Sales Manager 009,MDM011,Market Development Manager 011,3,42.15398,-70.896252,Active,True
CUST000011,Mountain Club 0011,Convenience Retail,SO0002,ASM001,Area Sales Manager 001,MDM012,Market Development Manager 012,4,40.468001,-111.755211,Active,True
CUST000012,Mountain Club 0012,Restaurant,SO0013,ASM004,Area Sales Manager 004,MDM013,Market Development Manager 013,4,45.544371,-122.623728,Active,True
CUST000013,Metro Foods 0013,Convenience Retail,SO0027,ASM007,Area Sales Manager 007,MDM014,Market Development Manager 014,1,32.946428,-96.780105,Active,True
CUST000014,Central Dining 0014,Restaurant,SO0029,ASM008,Area Sales Manager 008,MDM015,Market Development Manager 015,3,35.103311,-97.596318,Active,True
CUST000015,Summit Market 0015,Convenience Retail,SO0018,ASM005,Area Sales Manager 005,MDM016,Market Development Manager 016,3,41.809314,-87.256065,Active,True
CUST000016,Canyon Cafe 0016,Convenience Retail,SO0011,ASM003,Area Sales Manager 003,MDM017,Market Development Manager 017,3,47.185483,-122.415821,Active,True
CUST000017,Pioneer Retail 0017,Convenience Retail,SO0022,ASM006,Area Sales Manager 006,MDM018,Market Development Manager 018,3,42.509207,-82.847463,Active,True
CUST000018,Metro Foods 0018,Club,SO0010,ASM003,Area Sales Manager 003,MDM019,Market Development Manager 019,3,47.820694,-122.379926,Active,True
CUST000019,Corner Stop 0019,Restaurant,SO0022,ASM006,Area Sales Manager 006,MDM020,Market Development Manager 020,2,42.101537,-82.92151,Active,True
CUST000020,Canyon Cafe 0020,Retail,SO0006,ASM002,Area Sales Manager 002,MDM021,Market Development Manager 021,3,39.632387,-104.950665,Active,True
CUST000021,Evergreen Mart 0021,Convenience Retail,SO0007,ASM002,Area Sales Manager 002,MDM022,Market Development Manager 022,3,39.853394,-105.155781,Active,True
CUST000022,Central Dining 0022,Club,SO0023,ASM006,Area Sales Manager 006,MDM023,Market Development Manager 023,1,42.03244,-82.924057,Active,True
CUST000023,Summit Market 0023,Retail,SO0017,ASM005,Area Sales Manager 005,MDM024,Market Development Manager 024,3,41.998287,-87.518167,Active,True
CUST000024,Lakeside Store 0024,Convenience Retail,SO0047,ASM012,Area Sales Manager 012,MDM025,Market Development Manager 025,3,35.121275,-80.86303,Active,True
CUST000025,Corner Stop 0025,Retail,SO0035,ASM009,Area Sales Manager 009,MDM026,Market Development Manager 026,1,42.029425,-71.308212,Active,True
CUST000026,Corner Stop 0026,Restaurant,SO0025,ASM007,Area Sales Manager 007,MDM027,Market Development Manager 027,3,32.682159,-96.472193,Active,True
CUST000027,Pioneer Retail 0027,Restaurant,SO0036,ASM010,Area Sales Manager 010,MDM028,Market Development Manager 028,4,42.126696,-71.110259,Active,True
CUST000028,Central Dining 0028,Retail,SO0041,ASM011,Area Sales Manager 011,MDM029,Market Development Manager 029,5,33.959077,-84.81983,Active,True
CUST000029,Central Dining 0029,Retail,SO0024,ASM007,Area Sales Manager 007,MDM030,Market Development Manager 030,3,42.182863,-83.407314,Active,True
CUST000030,Corner Stop 0030,Restaurant,SO0013,ASM004,Area Sales Manager 004,MDM031,Market Development Manager 031,4,45.573369,-122.672937,Active,True
CUST000031,Metro Foods 0031,Convenience Retail,SO0003,ASM001,Area Sales Manager 001,MDM032,Market Development Manager 032,3,40.504926,-111.846181,Active,True
CUST000032,Corner Stop 0032,Club,SO0019,ASM005,Area Sales Manager 005,MDM033,Market Development Manager 033,3,42.086878,-87.540582,Active,True
CUST000033,Corner Stop 0033,Retail,SO0015,ASM004,Area Sales Manager 004,MDM034,Market Development Manager 034,3,45.355262,-122.910044,Active,True
CUST000034,Pioneer Retail 0034,Convenience Retail,SO0025,ASM007,Area Sales Manager 007,MDM035,Market Development Manager 035,2,32.935488,-96.852556,Active,True
CUST000035,Evergreen Mart 0035,Institutional,SO0030,ASM008,Area Sales Manager 008,MDM036,Market Development Manager 036,3,35.545978,-97.306868,Active,True
CUST000036,Evergreen Mart 0036,Convenience Retail,SO0011,ASM003,Area Sales Manager 003,MDM037,Market Development Manager 037,3,47.709802,-122.579485,Active,True
CUST000037,Metro Foods 0037,Convenience Retail,SO0023,ASM006,Area Sales Manager 006,MDM038,Market Development Manager 038,2,42.128165,-83.149639,Active,True
CUST000038,Pioneer Retail 0038,Convenience Retail,SO0043,ASM011,Area Sales Manager 011,MDM039,Market Development Manager 039,1,34.015495,-84.348738,Active,True
CUST000039,Corner Stop 0039,Retail,SO0045,ASM012,Area Sales Manager 012,MDM040,Market Development Manager 040,3,34.808429,-80.964677,Active,True
CUST000040,Valley Grocery 0040,Retail,SO0039,ASM010,Area Sales Manager 010,MDM041,Market Development Manager 041,3,41.177682,-74.139831,Active,True
CUST000041,Metro Foods 0041,Retail,SO0035,ASM009,Area Sales Manager 009,MDM042,Market Development Manager 042,5,42.063864,-71.300179,Active,True
CUST000042,Lakeside Store 0042,Convenience Retail,SO0011,ASM003,Area Sales Manager 003,MDM043,Market Development Manager 043,2,47.400853,-122.122478,Active,True
CUST000043,Pioneer Retail 0043,Retail,SO0025,ASM007,Area Sales Manager 007,MDM044,Market Development Manager 044,5,32.872938,-96.836159,Active,True
CUST000044,Mountain Club 0044,Retail,SO0041,ASM011,Area Sales Manager 011,MDM045,Market Development Manager 045,5,33.860518,-84.501746,Active,True
CUST000045,Evergreen Mart 0045,Convenience Retail,SO0015,ASM004,Area Sales Manager 004,MDM046,Market Development Manager 046,5,45.558347,-122.283627,Active,True
CUST000046,Metro Foods 0046,Restaurant,SO0004,ASM002,Area Sales Manager 002,MDM047,Market Development Manager 047,4,40.832257,-111.5645,Active,True
CUST000047,Evergreen Mart 0047,Restaurant,SO0003,ASM001,Area Sales Manager 001,MDM048,Market Development Manager 048,3,41.037372,-111.783811,Active,True
CUST000048,Pioneer Retail 0048,Convenience Retail,SO0026,ASM007,Area Sales Manager 007,MDM049,Market Development Manager 049,2,32.470583,-97.13904,Active,True
CUST000049,Metro Foods 0049,Retail,SO0005,ASM002,Area Sales Manager 002,MDM050,Market Development Manager 050,4,39.69432,-105.086097,Active,True
CUST000050,Evergreen Mart 0050,Convenience Retail,SO0037,ASM010,Area Sales Manager 010,MDM051,Market Development Manager 051,4,41.087045,-74.396082,Active,True
CUST000051,Lakeside Store 0051,Restaurant,SO0014,ASM004,Area Sales Manager 004,MDM052,Market Development Manager 052,5,45.51392,-122.719261,Active,True
CUST000052,Lakeside Store 0052,Club,SO0026,ASM007,Area Sales Manager 007,MDM053,Market Development Manager 053,2,32.799346,-96.636015,Active,True
