delivery_order_id,source_order_number,shipment_number,order_date,planned_delivery_timestamp,actual_delivery_timestamp,customer_id,driver_id,route_id,vehicle_id,sales_organization_id,missed_reason_code,ordered_cases,delivered_cases,undelivered_cases,total_sales_amount,planned_stop_count,actual_stop_count,delivery_delay_minutes,hotshot_flag,off_day_flag,on_time_flag,in_full_flag,otif_flag,sla_flag,missed_delivery_flag,delivery_status
DEL000000001,ORD000000001,SHP000000001,2025-10-01,2025-10-02 08:47:39,2025-10-02 08:57:39,CUST001009,DRV00023,ROUTE00024,VEH00022,SO0006,,109.43,109.43,0.0,3107.95,1,1,10.0,False,False,True,True,True,True,False,Completed
DEL000000002,ORD000000002,SHP000000002,2026-03-05,2026-03-06 09:49:04,2026-03-06 08:53:04,CUST002011,DRV00043,ROUTE00044,VEH00044,SO0011,,52.65,52.65,0.0,1099.49,1,1,-56.0,False,False,True,True,True,True,False,Completed
DEL000000003,ORD000000003,SHP000000003,2024-11-28,2024-11-29 14:56:02,2024-11-29 14:36:02,CUST000176,DRV00018,ROUTE00019,VEH00018,SO0005,,51.44,51.44,0.0,1070.75,1,1,-20.0,False,False,True,True,True,True,False,Completed
DEL000000004,ORD000000004,SHP000000004,2025-12-17,2025-12-18 07:01:06,2025-12-18 06:54:06,CUST001008,DRV00083,ROUTE00083,VEH00084,SO0021,,60.66,60.66,0.0,1564.95,1,1,-7.0,False,False,True,True,True,True,False,Completed
DEL000000005,ORD000000005,SHP000000005,2026-07-21,2026-07-22 15:59:38,2026-07-22 15:42:38,CUST002343,DRV00072,ROUTE00071,VEH00072,SO0018,,69.38,69.38,0.0,1166.93,1,1,-17.0,False,False,True,True,True,True,False,Completed
DEL000000006,ORD000000006,SHP000000006,2024-02-10,2024-02-11 11:54:12,2024-02-11 11:05:12,CUST000512,DRV00106,ROUTE00105,VEH00106,SO0027,,46.32,46.32,0.0,1215.06,1,1,-49.0,False,False,True,True,True,True,False,Completed
DEL000000007,ORD000000007,SHP000000007,2024-12-23,2024-12-24 07:57:52,2024-12-24 08:08:52,CUST000778,DRV00187,ROUTE00185,VEH00186,SO0047,,189.11,189.11,0.0,3098.12,1,1,11.0,False,False,True,True,True,True,False,Completed
DEL000000008,ORD000000008,SHP000000008,2024-08-30,2024-08-31 11:56:12,2024-08-31 11:01:12,CUST001306,DRV00041,ROUTE00041,VEH00041,SO0011,,84.86,84.86,0.0,1616.83,1,1,-55.0,False,False,True,True,True,True,False,Completed
DEL000000009,ORD000000009,SHP000000009,2025-02-08,2025-02-09 12:54:18,2025-02-09 12:12:18,CUST002046,DRV00121,ROUTE00121,VEH00124,SO0031,,77.0,77.0,0.0,1107.63,1,1,-42.0,False,False,True,True,True,True,False,Completed
DEL000000010,ORD000000010,SHP000000010,2025-01-28,2025-01-29 22:43:25,2025-01-29 22:42:25,CUST000503,DRV00133,ROUTE00135,VEH00134,SO0034,,71.6,71.6,0.0,1807.52,1,1,-1.0,False,False,True,True,True,True,False,Completed
