work_date,driver_id,route_id,vehicle_id,sales_organization_id,total_deliveries,total_stops,missed_stops,total_cases_delivered,scheduled_hours,total_hours,regular_hours,overtime_hours,completed_stops,planned_miles,miles_driven
2024-01-01,DRV00003,ROUTE00001,VEH00004,SO0001,1,1,0,132.69,8.0,6.59,6.59,0.0,1,5.09,5.82
2024-01-01,DRV00003,ROUTE00002,VEH00003,SO0001,1,1,0,52.03,8.0,7.18,7.18,0.0,1,4.62,4.65
2024-01-01,DRV00005,ROUTE00005,VEH00006,SO0002,1,1,0,98.02,8.0,5.55,5.55,0.0,1,6.51,7.22
2024-01-01,DRV00019,ROUTE00019,VEH00020,SO0005,1,1,0,121.81,8.0,6.86,6.86,0.0,1,3.52,3.61
2024-01-01,DRV00020,ROUTE00018,VEH00019,SO0005,1,1,0,116.03,8.0,7.06,7.06,0.0,1,4.37,5.3
2024-01-01,DRV00020,ROUTE00020,VEH00020,SO0005,1,1,0,38.59,8.0,5.94,5.94,0.0,1,5.37,5.2
2024-01-01,DRV00021,ROUTE00024,VEH00021,SO0006,1,1,0,193.96,8.0,5.39,5.39,0.0,1,7.0,7.78
2024-01-01,DRV00022,ROUTE00023,VEH00022,SO0006,1,1,0,110.09,8.0,5.78,5.78,0.0,1,4.28,5.12
2024-01-01,DRV00023,ROUTE00024,VEH00021,SO0006,1,1,0,36.59,8.0,5.54,5.54,0.0,1,3.99,4.74
2024-01-01,DRV00026,ROUTE00025,VEH00027,SO0007,1,1,0,65.72,8.0,5.57,5.57,0.0,1,4.46,4.77
2024-01-01,DRV00030,ROUTE00029,VEH00029,SO0008,1,1,0,50.87,8.0,7.61,7.61,0.0,1,6.86,7.39
2024-01-01,DRV00033,ROUTE00036,VEH00034,SO0009,1,1,0,56.46,8.0,6.25,6.25,0.0,1,5.86,6.31
2024-01-01,DRV00035,ROUTE00034,VEH00033,SO0009,1,1,0,52.05,8.0,4.61,4.61,0.0,1,4.79,5.43
2024-01-01,DRV00035,ROUTE00036,VEH00034,SO0009,1,1,0,37.03,8.0,6.46,6.46,0.0,1,4.04,3.87
2024-01-01,DRV00037,ROUTE00038,VEH00039,SO0010,1,1,0,59.52,8.0,5.65,5.65,0.0,1,3.9,4.03
2024-01-01,DRV00040,ROUTE00039,VEH00038,SO0010,1,1,0,105.3,8.0,7.9,7.9,0.0,1,4.17,4.27
2024-01-01,DRV00040,ROUTE00039,VEH00039,SO0010,1,1,0,66.57,8.0,7.52,7.52,0.0,1,6.65,7.18
2024-01-01,DRV00041,ROUTE00043,VEH00041,SO0011,1,1,0,107.99,8.0,6.32,6.32,0.0,1,4.09,4.65
2024-01-01,DRV00045,ROUTE00048,VEH00045,SO0012,1,1,0,20.14,8.0,7.38,7.38,0.0,1,4.79,5.28
2024-01-01,DRV00047,ROUTE00047,VEH00047,SO0012,1,1,0,84.37,8.0,6.02,6.02,0.0,1,5.64,5.38
2024-01-01,DRV00047,ROUTE00048,VEH00046,SO0012,1,1,0,163.57,8.0,6.81,6.81,0.0,1,4.32,4.87
2024-01-01,DRV00049,ROUTE00051,VEH00050,SO0013,1,1,0,13.56,8.0,5.63,5.63,0.0,1,4.8,5.89
2024-01-01,DRV00051,ROUTE00049,VEH00051,SO0013,1,1,0,138.58,8.0,7.38,7.38,0.0,1,4.68,4.52
2024-01-01,DRV00051,ROUTE00052,VEH00049,SO0013,1,1,0,65.8,8.0,5.34,5.34,0.0,1,5.28,6.45
2024-01-01,DRV00054,ROUTE00054,VEH00055,SO0014,1,1,0,95.22,8.0,6.07,6.07,0.0,1,7.2,7.42
2024-01-01,DRV00058,ROUTE00059,VEH00059,SO0015,1,1,0,30.96,8.0,6.42,6.42,0.0,1,6.01,7.04
2024-01-01,DRV00060,ROUTE00059,VEH00057,SO0015,1,1,0,50.13,8.0,7.53,7.53,0.0,1,4.64,4.74
2024-01-01,DRV00062,ROUTE00063,VEH00063,SO0016,1,1,0,205.73,8.0,7.9,7.9,0.0,1,6.37,7.72
2024-01-01,DRV00066,ROUTE00065,VEH00065,SO0017,1,1,0,64.57,8.0,5.85,5.85,0.0,1,7.29,7.37
2024-01-01,DRV00066,ROUTE00065,VEH00068,SO0017,1,1,0,66.29,8.0,5.03,5.03,0.0,1,3.79,4.64
2024-01-01,DRV00066,ROUTE00066,VEH00066,SO0017,1,1,0,18.5,8.0,6.98,6.98,0.0,1,4.42,4.66
2024-01-01,DRV00067,ROUTE00068,VEH00068,SO0017,1,1,0,140.05,8.0,6.2,6.2,0.0,1,5.65,6.13
2024-01-01,DRV00069,ROUTE00070,VEH00072,SO0018,1,1,0,23.9,8.0,7.4,7.4,0.0,1,5.19,5.34
2024-01-01,DRV00072,ROUTE00070,VEH00072,SO0018,1,1,0,77.75,8.0,5.68,5.68,0.0,1,4.69,5.76
2024-01-01,DRV00073,ROUTE00076,VEH00076,SO0019,1,1,0,113.59,8.0,5.74,5.74,0.0,1,6.5,7.57
2024-01-01,DRV00075,ROUTE00073,VEH00075,SO0019,1,1,0,78.72,8.0,6.07,6.07,0.0,1,4.92,6.09
2024-01-01,DRV00076,ROUTE00073,VEH00074,SO0019,1,1,0,106.66,8.0,7.28,7.28,0.0,1,4.29,5.27
2024-01-01,DRV00077,ROUTE00077,VEH00077,SO0020,1,1,0,42.44,8.0,6.28,6.28,0.0,1,4.99,6.18
2024-01-01,DRV00079,ROUTE00078,VEH00078,SO0020,1,1,0,55.87,8.0,5.42,5.42,0.0,1,5.66,6.16
2024-01-01,DRV00081,ROUTE00081,VEH00082,SO0021,1,1,0,85.87,8.0,6.46,6.46,0.0,1,5.85,6.85
2024-01-01,DRV00081,ROUTE00083,VEH00081,SO0021,1,1,0,153.01,8.0,7.44,7.44,0.0,1,5.97,7.24
2024-01-01,DRV00082,ROUTE00084,VEH00083,SO0021,1,1,0,100.04,8.0,6.05,6.05,0.0,1,7.08,8.21
2024-01-01,DRV00083,ROUTE00082,VEH00084,SO0021,1,1,0,86.12,8.0,6.74,6.74,0.0,1,6.99,7.59
2024-01-01,DRV00083,ROUTE00084,VEH00084,SO0021,1,1,0,151.21,8.0,6.29,6.29,0.0,1,7.37,7.05
2024-01-01,DRV00084,ROUTE00084,VEH00081,SO0021,1,1,0,63.12,8.0,6.25,6.25,0.0,1,7.09,7.89
2024-01-01,DRV00084,ROUTE00084,VEH00082,SO0021,1,1,0,68.06,8.0,5.92,5.92,0.0,1,4.16,4.7
2024-01-01,DRV00088,ROUTE00086,VEH00087,SO0022,1,1,0,99.73,8.0,6.44,6.44,0.0,1,7.31,7.39
2024-01-01,DRV00090,ROUTE00089,VEH00091,SO0023,1,1,0,21.42,8.0,7.27,7.27,0.0,1,4.05,4.62
2024-01-01,DRV00091,ROUTE00092,VEH00092,SO0023,1,1,0,52.61,8.0,6.06,6.06,0.0,1,3.95,4.61
2024-01-01,DRV00095,ROUTE00095,VEH00094,SO0024,1,1,0,88.79,8.0,5.58,5.58,0.0,1,5.33,5.7
2024-01-01,DRV00096,ROUTE00095,VEH00094,SO0024,1,1,0,116.51,8.0,5.85,5.85,0.0,1,4.09,5.11
2024-01-01,DRV00098,ROUTE00099,VEH00099,SO0025,1,1,0,61.51,8.0,6.18,6.18,0.0,1,4.33,5.21
2024-01-01,DRV00100,ROUTE00100,VEH00099,SO0025,1,1,0,67.44,8.0,4.5,4.5,0.0,1,4.38,5.4
2024-01-01,DRV00103,ROUTE00102,VEH00101,SO0026,1,1,0,53.75,8.0,4.74,4.74,0.0,1,4.97,5.65
2024-01-01,DRV00103,ROUTE00102,VEH00102,SO0026,1,1,0,50.17,8.0,5.53,5.53,0.0,1,7.17,7.89
2024-01-01,DRV00104,ROUTE00103,VEH00104,SO0026,1,1,0,61.65,8.0,7.22,7.22,0.0,1,4.93,5.88
