recommendation_id,recommendation_date,customer_id,sales_organization_id,frequency_rule_id,rolling_4_week_cases,average_weekly_cases,current_weekly_frequency,recommended_weekly_frequency,weekly_frequency_change,estimated_weekly_stops_saved,estimated_annual_stops_saved,estimated_annual_miles_saved,estimated_annual_driver_hours_saved,estimated_annual_fuel_saved,estimated_annual_cost_saved,estimated_annual_co2_saved,recommendation_status,implementation_status,review_required_flag,approved_flag
REC0000001,2026-08-01,CUST000001,SO0041,FR010,53.72,13.43,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000002,2026-08-01,CUST000002,SO0002,FR004,0.0,0.0,5,1,-4,4,208,1289.6,79.04,157.27,15392,1605.73,Generated,Pending Review,True,False
REC0000003,2026-08-01,CUST000003,SO0016,FR004,53.48,13.37,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000004,2026-08-01,CUST000004,SO0009,FR007,0.0,0.0,4,1,-3,3,156,967.2,59.28,117.95,11544,1204.27,Generated,Pending Review,True,False
REC0000005,2026-08-01,CUST000005,SO0044,FR007,179.56,44.89,1,1,0,0,0,0.0,0.0,0.0,0,0.0,Generated,Pending Review,True,False
REC0000006,2026-08-01,CUST000006,SO0006,FR010,0.0,0.0,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000007,2026-08-01,CUST000007,SO0028,FR010,205.29,51.32,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000008,2026-08-01,CUST000008,SO0002,FR004,0.0,0.0,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
REC0000009,2026-08-01,CUST000009,SO0014,FR004,144.28,36.07,2,1,-1,1,52,322.4,19.76,39.32,3848,401.46,Generated,Pending Review,True,False
REC0000010,2026-08-01,CUST000010,SO0033,FR004,70.75,17.69,3,1,-2,2,104,644.8,39.52,78.63,7696,802.81,Generated,Pending Review,True,False
