purchase_order_number,purchase_order_line_number,invoice_number,purchase_timestamp,vehicle_id,sales_organization_id,vendor_id,vendor_name,fuel_type,gallons_purchased,fuel_unit_price,fuel_purchase_cost,odometer_reading
FPO00000001,1,FINV00000001,2024-01-05 07:41:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 003,Diesel,28.422,3.8238,108.68,97868.62
FPO00000002,1,FINV00000002,2024-01-09 05:15:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 018,Diesel,71.44,4.1439,296.04,97873.83
FPO00000003,1,FINV00000003,2024-01-10 08:05:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 001,Diesel,56.552,3.8296,216.57,97882.41
FPO00000004,1,FINV00000004,2024-01-10 11:33:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 014,Diesel,31.246,3.453,107.89,97889.81
FPO00000005,1,FINV00000005,2024-01-20 17:25:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 019,Diesel,47.315,3.8435,181.86,97894.5
FPO00000006,1,FINV00000006,2024-02-10 14:32:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 012,Diesel,83.997,3.767,316.42,97898.67
FPO00000007,1,FINV00000007,2024-02-12 12:24:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 017,Diesel,32.732,4.5128,147.71,97905.93
FPO00000008,1,FINV00000008,2024-02-13 14:35:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 013,Diesel,31.55,3.369,106.29,97911.53
FPO00000009,1,FINV00000009,2024-02-20 13:30:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 013,Diesel,24.275,4.1201,100.02,97918.5
FPO00000010,1,FINV00000010,2024-02-21 08:28:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 010,Diesel,66.789,4.3911,293.28,97922.67
FPO00000011,1,FINV00000011,2024-02-22 08:58:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 003,Diesel,52.09,3.5389,184.34,97929.14
FPO00000012,1,FINV00000012,2024-03-02 12:50:00,VEH00001,SO0001,VENDOR013,Fuel Vendor 018,Diesel,74.685,4.7829,357.21,97933.52
FPO00000013,1,FINV00000013,2024-03-05 14:21:00,VEH00001,SO0001,VENDOR007,Fuel Vendor 005,Diesel,47.982,3.5187,168.83,97939.72
FPO00000014,1,FINV00000014,2024-03-07 05:15:00,VEH00001,SO0001,VENDOR013,Fuel Vendor 020,Diesel,65.484,4.3245,283.19,97944.43
FPO00000015,1,FINV00000015,2024-03-09 11:17:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 017,Diesel,78.531,4.3071,338.24,97950.63
FPO00000016,1,FINV00000016,2024-03-11 15:12:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 015,Diesel,45.356,4.3085,195.42,97957.34
FPO00000017,1,FINV00000017,2024-03-14 18:16:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 010,Diesel,68.301,4.7549,324.76,97962.0
FPO00000018,1,FINV00000018,2024-03-17 15:57:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 009,Diesel,56.362,4.4968,253.45,97966.38
FPO00000019,1,FINV00000019,2024-03-22 13:39:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 020,Diesel,52.95,3.3287,176.25,97970.74
FPO00000020,1,FINV00000020,2024-03-26 18:09:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 004,Diesel,40.192,4.2721,171.7,97975.66
FPO00000021,1,FINV00000021,2024-03-28 14:30:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 018,Diesel,86.068,3.8337,329.96,97979.83
FPO00000022,1,FINV00000022,2024-04-11 14:17:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 017,Diesel,26.889,4.6333,124.58,97986.83
FPO00000023,1,FINV00000023,2024-04-13 17:18:00,VEH00001,SO0001,VENDOR016,Fuel Vendor 014,Diesel,89.132,3.2015,285.36,97992.66
FPO00000024,1,FINV00000024,2024-04-24 07:37:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 011,Diesel,21.031,4.5423,95.53,97996.96
FPO00000025,1,FINV00000025,2024-04-30 07:40:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 005,Diesel,24.658,3.5405,87.3,98003.58
FPO00000026,1,FINV00000026,2024-05-08 16:59:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 010,Diesel,46.33,3.9312,182.13,98008.13
FPO00000027,1,FINV00000027,2024-05-15 16:28:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 004,Diesel,68.805,4.5903,315.84,98012.22
FPO00000028,1,FINV00000028,2024-06-04 11:28:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 011,Diesel,68.533,4.8028,329.15,98018.37
FPO00000029,1,FINV00000029,2024-06-11 19:05:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 015,Diesel,47.369,4.3597,206.51,98024.26
FPO00000030,1,FINV00000030,2024-06-15 14:41:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 012,Diesel,32.163,3.9116,125.81,98028.99
FPO00000031,1,FINV00000031,2024-06-15 18:08:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 017,Diesel,36.54,4.7649,174.11,98034.66
FPO00000032,1,FINV00000032,2024-06-16 10:20:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 017,Diesel,43.554,3.1431,136.89,98040.85
FPO00000033,1,FINV00000033,2024-06-19 14:52:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 019,Diesel,86.758,4.0292,349.57,98045.07
FPO00000034,1,FINV00000034,2024-06-22 08:00:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 011,Diesel,35.115,4.1881,147.07,98051.9
FPO00000035,1,FINV00000035,2024-06-24 07:28:00,VEH00001,SO0001,VENDOR006,Fuel Vendor 019,Diesel,20.313,4.7053,95.58,98058.5
FPO00000036,1,FINV00000036,2024-06-24 09:03:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 006,Diesel,88.325,3.9424,348.21,98063.0
FPO00000037,1,FINV00000037,2024-06-27 08:56:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 013,Diesel,47.355,3.4334,162.59,98067.37
FPO00000038,1,FINV00000038,2024-06-29 12:45:00,VEH00001,SO0001,VENDOR002,Fuel Vendor 007,Diesel,18.516,4.0237,74.5,98071.77
FPO00000039,1,FINV00000039,2024-07-01 18:27:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 010,Diesel,45.159,3.5394,159.84,98078.19
FPO00000040,1,FINV00000040,2024-07-14 07:02:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 019,Diesel,87.715,4.2482,372.63,98084.27
FPO00000041,1,FINV00000041,2024-07-19 11:51:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 017,Diesel,35.518,3.2701,116.15,98089.36
FPO00000042,1,FINV00000042,2024-07-29 18:06:00,VEH00001,SO0001,VENDOR006,Fuel Vendor 019,Diesel,61.544,4.0318,248.13,98097.03
FPO00000043,1,FINV00000043,2024-08-04 12:14:00,VEH00001,SO0001,VENDOR020,Fuel Vendor 004,Diesel,60.331,4.5518,274.61,98102.01
FPO00000044,1,FINV00000044,2024-08-04 12:56:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 018,Diesel,74.267,4.3242,321.15,98108.54
FPO00000045,1,FINV00000045,2024-08-06 05:46:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 017,Diesel,43.13,4.5883,197.89,98112.45
FPO00000046,1,FINV00000046,2024-08-07 19:09:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 016,Diesel,73.451,3.584,263.25,98120.64
FPO00000047,1,FINV00000047,2024-08-08 19:37:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 002,Diesel,89.74,4.6326,415.73,98124.65
FPO00000048,1,FINV00000048,2024-08-19 09:13:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 016,Diesel,42.984,4.2519,182.76,98130.65
FPO00000049,1,FINV00000049,2024-08-27 16:49:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 003,Diesel,86.291,3.9217,338.41,98137.51
FPO00000050,1,FINV00000050,2024-08-31 08:27:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 008,Diesel,86.656,3.3799,292.89,98144.68
FPO00000051,1,FINV00000051,2024-09-07 08:56:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 005,Diesel,19.153,3.3018,63.24,98149.89
FPO00000052,1,FINV00000052,2024-09-09 15:10:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 010,Diesel,76.449,4.4858,342.93,98154.97
FPO00000053,1,FINV00000053,2024-09-12 13:47:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 008,Diesel,38.898,3.4412,133.86,98161.49
FPO00000054,1,FINV00000054,2024-09-14 09:07:00,VEH00001,SO0001,VENDOR013,Fuel Vendor 012,Diesel,66.756,3.8934,259.91,98166.47
FPO00000055,1,FINV00000055,2024-09-17 19:20:00,VEH00001,SO0001,VENDOR019,Fuel Vendor 012,Diesel,26.47,3.4897,92.37,98172.96
FPO00000056,1,FINV00000056,2024-09-17 16:05:00,VEH00001,SO0001,VENDOR016,Fuel Vendor 009,Diesel,31.388,4.5372,142.41,98177.88
FPO00000057,1,FINV00000057,2024-09-29 14:55:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 002,Diesel,52.219,3.9433,205.92,98183.58
FPO00000058,1,FINV00000058,2024-10-01 17:36:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 019,Diesel,83.273,4.0561,337.76,98188.91
FPO00000059,1,FINV00000059,2024-10-01 12:13:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 010,Diesel,35.49,4.1814,148.4,98193.46
FPO00000060,1,FINV00000060,2024-10-18 06:51:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 007,Diesel,46.519,3.7066,172.43,98200.14
FPO00000061,1,FINV00000061,2024-10-21 19:11:00,VEH00001,SO0001,VENDOR018,Fuel Vendor 015,Diesel,50.044,3.8447,192.4,98207.76
FPO00000062,1,FINV00000062,2024-10-29 14:28:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 005,Diesel,73.357,4.108,301.35,98212.52
FPO00000063,1,FINV00000063,2024-11-15 08:17:00,VEH00001,SO0001,VENDOR002,Fuel Vendor 009,Diesel,69.941,4.6849,327.67,98218.85
FPO00000064,1,FINV00000064,2024-11-22 13:16:00,VEH00001,SO0001,VENDOR015,Fuel Vendor 006,Diesel,80.048,4.029,322.51,98225.6
FPO00000065,1,FINV00000065,2024-11-27 14:36:00,VEH00001,SO0001,VENDOR010,Fuel Vendor 012,Diesel,48.683,4.2886,208.78,98232.62
FPO00000066,1,FINV00000066,2024-12-02 12:05:00,VEH00001,SO0001,VENDOR002,Fuel Vendor 004,Diesel,47.118,3.8569,181.73,98236.69
FPO00000067,1,FINV00000067,2024-12-02 19:05:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 011,Diesel,39.36,3.1384,123.53,98244.5
FPO00000068,1,FINV00000068,2024-12-06 08:47:00,VEH00001,SO0001,VENDOR005,Fuel Vendor 004,Diesel,40.82,3.5952,146.76,98251.3
FPO00000069,1,FINV00000069,2024-12-08 13:21:00,VEH00001,SO0001,VENDOR001,Fuel Vendor 006,Diesel,58.267,3.287,191.52,98256.54
FPO00000070,1,FINV00000070,2024-12-09 05:49:00,VEH00001,SO0001,VENDOR017,Fuel Vendor 017,Diesel,43.4,4.4417,192.77,98265.36
FPO00000071,1,FINV00000071,2024-12-11 05:03:00,VEH00001,SO0001,VENDOR002,Fuel Vendor 001,Diesel,41.382,3.9114,161.86,98269.63
FPO00000072,1,FINV00000072,2024-12-17 09:18:00,VEH00001,SO0001,VENDOR004,Fuel Vendor 020,Diesel,73.36,4.3877,321.88,98276.62
FPO00000073,1,FINV00000073,2024-12-24 16:16:00,VEH00001,SO0001,VENDOR009,Fuel Vendor 013,Diesel,89.863,4.0465,363.63,98285.3
FPO00000074,1,FINV00000074,2024-12-24 05:43:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 001,Diesel,40.541,4.2453,172.11,98290.74
FPO00000075,1,FINV00000075,2025-01-03 09:20:00,VEH00001,SO0001,VENDOR004,Fuel Vendor 002,Diesel,26.204,3.2513,85.2,98298.56
FPO00000076,1,FINV00000076,2025-01-04 16:49:00,VEH00001,SO0001,VENDOR003,Fuel Vendor 006,Diesel,75.131,4.4397,333.56,98303.21
FPO00000077,1,FINV00000077,2025-01-09 17:29:00,VEH00001,SO0001,VENDOR007,Fuel Vendor 011,Diesel,50.81,4.156,211.17,98307.97
FPO00000078,1,FINV00000078,2025-01-10 13:18:00,VEH00001,SO0001,VENDOR011,Fuel Vendor 013,Diesel,27.819,3.5615,99.08,98317.52
FPO00000079,1,FINV00000079,2025-01-11 14:32:00,VEH00001,SO0001,VENDOR008,Fuel Vendor 006,Diesel,22.372,4.5109,100.92,98323.94
FPO00000080,1,FINV00000080,2025-01-11 06:30:00,VEH00001,SO0001,VENDOR014,Fuel Vendor 016,Diesel,53.045,4.6565,247.0,98329.87
FPO00000081,1,FINV00000081,2025-01-11 19:35:00,VEH00001,SO0001,VENDOR012,Fuel Vendor 005,Diesel,87.509,4.1587,363.92,98335.96
