route_id,route_name,sales_organization_id,route_type,planned_distance_miles,planned_stops,planned_duration_hours,active_flag
ROUTE00001,Route 00001,SO0001,Suburban,96.23,8,6.9,True
ROUTE00002,Route 00002,SO0001,Mixed,41.98,10,9.8,True
ROUTE00003,Route 00003,SO0001,Mixed,127.05,22,8.23,True
ROUTE00004,Route 00004,SO0001,Mixed,48.33,24,6.03,True
ROUTE00005,Route 00005,SO0002,Urban,205.75,25,6.22,True
ROUTE00006,Route 00006,SO0002,Urban,47.94,23,7.36,True
ROUTE00007,Route 00007,SO0002,Rural,97.22,28,6.59,True
ROUTE00008,Route 00008,SO0002,Rural,211.62,16,9.62,True
ROUTE00009,Route 00009,SO0003,Urban,97.22,27,6.76,True
ROUTE00010,Route 00010,SO0003,Mixed,88.26,23,8.64,True
ROUTE00011,Route 00011,SO0003,Mixed,48.03,25,8.32,True
ROUTE00012,Route 00012,SO0003,Suburban,61.39,13,7.22,True
ROUTE00013,Route 00013,SO0004,Rural,162.84,30,9.24,True
ROUTE00014,Route 00014,SO0004,Rural,166.3,25,8.27,True
ROUTE00015,Route 00015,SO0004,Urban,41.67,19,6.01,True
ROUTE00016,Route 00016,SO0004,Urban,40.0,24,6.24,True
ROUTE00017,Route 00017,SO0005,Mixed,167.33,25,8.9,True
ROUTE00018,Route 00018,SO0005,Rural,134.97,9,9.05,True
ROUTE00019,Route 00019,SO0005,Suburban,187.75,9,7.44,True
ROUTE00020,Route 00020,SO0005,Suburban,100.78,14,7.25,True
ROUTE00021,Route 00021,SO0006,Rural,207.52,8,9.93,True
ROUTE00022,Route 00022,SO0006,Suburban,199.88,15,7.64,True
ROUTE00023,Route 00023,SO0006,Mixed,51.97,8,7.2,True
ROUTE00024,Route 00024,SO0006,Rural,80.18,18,8.79,True
ROUTE00025,Route 00025,SO0007,Rural,64.18,11,7.88,True
ROUTE00026,Route 00026,SO0007,Mixed,118.87,30,9.82,True
ROUTE00027,Route 00027,SO0007,Suburban,129.82,20,7.22,True
ROUTE00028,Route 00028,SO0007,Urban,159.83,27,8.96,True
ROUTE00029,Route 00029,SO0008,Suburban,143.14,17,8.2,True
ROUTE00030,Route 00030,SO0008,Mixed,166.58,21,6.53,True
ROUTE00031,Route 00031,SO0008,Suburban,168.22,9,7.39,True
ROUTE00032,Route 00032,SO0008,Rural,134.68,30,6.9,True
ROUTE00033,Route 00033,SO0009,Urban,74.77,18,9.55,True
ROUTE00034,Route 00034,SO0009,Suburban,73.97,27,9.73,True
ROUTE00035,Route 00035,SO0009,Rural,178.96,18,6.07,True
ROUTE00036,Route 00036,SO0009,Rural,141.64,17,7.44,True
ROUTE00037,Route 00037,SO0010,Mixed,173.65,13,8.72,True
ROUTE00038,Route 00038,SO0010,Mixed,188.19,23,8.16,True
ROUTE00039,Route 00039,SO0010,Suburban,182.59,16,7.99,True
ROUTE00040,Route 00040,SO0010,Rural,84.01,13,8.9,True
ROUTE00041,Route 00041,SO0011,Rural,42.69,18,8.46,True
ROUTE00042,Route 00042,SO0011,Urban,154.37,26,8.41,True
ROUTE00043,Route 00043,SO0011,Mixed,143.73,17,8.59,True
ROUTE00044,Route 00044,SO0011,Urban,184.89,9,9.71,True
ROUTE00045,Route 00045,SO0012,Mixed,76.17,10,8.69,True
ROUTE00046,Route 00046,SO0012,Rural,63.39,14,8.07,True
ROUTE00047,Route 00047,SO0012,Rural,43.21,15,6.69,True
ROUTE00048,Route 00048,SO0012,Urban,127.42,17,6.45,True
ROUTE00049,Route 00049,SO0013,Urban,152.75,22,7.98,True
ROUTE00050,Route 00050,SO0013,Suburban,205.23,30,7.68,True
ROUTE00051,Route 00051,SO0013,Mixed,138.06,23,9.39,True
ROUTE00052,Route 00052,SO0013,Suburban,201.15,9,9.16,True
ROUTE00053,Route 00053,SO0014,Rural,71.41,29,8.5,True
ROUTE00054,Route 00054,SO0014,Mixed,85.16,23,9.45,True
ROUTE00055,Route 00055,SO0014,Rural,82.45,16,9.07,True
ROUTE00056,Route 00056,SO0014,Urban,118.08,17,6.79,True
ROUTE00057,Route 00057,SO0015,Rural,156.23,26,8.54,True
ROUTE00058,Route 00058,SO0015,Mixed,85.58,9,7.8,True
ROUTE00059,Route 00059,SO0015,Rural,101.95,13,8.64,True
ROUTE00060,Route 00060,SO0015,Rural,150.98,16,9.1,True
ROUTE00061,Route 00061,SO0016,Mixed,180.79,8,9.13,True
ROUTE00062,Route 00062,SO0016,Rural,51.07,17,8.61,True
ROUTE00063,Route 00063,SO0016,Rural,43.45,24,9.58,True
ROUTE00064,Route 00064,SO0016,Mixed,131.67,30,8.78,True
ROUTE00065,Route 00065,SO0017,Mixed,102.7,11,9.1,True
ROUTE00066,Route 00066,SO0017,Suburban,68.85,30,9.09,True
ROUTE00067,Route 00067,SO0017,Suburban,140.15,20,9.7,True
ROUTE00068,Route 00068,SO0017,Suburban,205.54,29,7.58,True
ROUTE00069,Route 00069,SO0018,Suburban,133.35,13,6.77,True
ROUTE00070,Route 00070,SO0018,Suburban,98.44,17,9.74,True
ROUTE00071,Route 00071,SO0018,Urban,187.23,20,9.09,True
ROUTE00072,Route 00072,SO0018,Mixed,114.75,14,8.04,True
ROUTE00073,Route 00073,SO0019,Mixed,214.97,22,8.29,True
ROUTE00074,Route 00074,SO0019,Urban,184.4,26,7.82,True
