sales_organization_id,region_id,region_name,market_unit_id,market_unit_name,distribution_center_id,distribution_center_name,sales_territory_id,sales_territory_name,distribution_center_latitude,distribution_center_longitude,active_flag
SO0001,R01,West Region,MU0101,Mountain Market Unit,DC010101,Salt Lake DC,T0001,Salt Lake DC Territory 1,40.7608,-111.891,True
SO0002,R01,West Region,MU0101,Mountain Market Unit,DC010101,Salt Lake DC,T0002,Salt Lake DC Territory 2,40.7608,-111.891,True
SO0003,R01,West Region,MU0101,Mountain Market Unit,DC010101,Salt Lake DC,T0003,Salt Lake DC Territory 3,40.7608,-111.891,True
SO0004,R01,West Region,MU0101,Mountain Market Unit,DC010101,Salt Lake DC,T0004,Salt Lake DC Territory 4,40.7608,-111.891,True
SO0005,R01,West Region,MU0101,Mountain Market Unit,DC010102,Denver DC,T0005,Denver DC Territory 1,39.7392,-104.9903,True
SO0006,R01,West Region,MU0101,Mountain Market Unit,DC010102,Denver DC,T0006,Denver DC Territory 2,39.7392,-104.9903,True
SO0007,R01,West Region,MU0101,Mountain Market Unit,DC010102,Denver DC,T0007,Denver DC Territory 3,39.7392,-104.9903,True
SO0008,R01,West Region,MU0101,Mountain Market Unit,DC010102,Denver DC,T0008,Denver DC Territory 4,39.7392,-104.9903,True
SO0009,R01,West Region,MU0102,Pacific Market Unit,DC010201,Seattle DC,T0009,Seattle DC Territory 1,47.6062,-122.3321,True
SO0010,R01,West Region,MU0102,Pacific Market Unit,DC010201,Seattle DC,T0010,Seattle DC Territory 2,47.6062,-122.3321,True
SO0011,R01,West Region,MU0102,Pacific Market Unit,DC010201,Seattle DC,T0011,Seattle DC Territory 3,47.6062,-122.3321,True
SO0012,R01,West Region,MU0102,Pacific Market Unit,DC010201,Seattle DC,T0012,Seattle DC Territory 4,47.6062,-122.3321,True
SO0013,R01,West Region,MU0102,Pacific Market Unit,DC010202,Portland DC,T0013,Portland DC Territory 1,45.5152,-122.6784,True
SO0014,R01,West Region,MU0102,Pacific Market Unit,DC010202,Portland DC,T0014,Portland DC Territory 2,45.5152,-122.6784,True
SO0015,R01,West Region,MU0102,Pacific Market Unit,DC010202,Portland DC,T0015,Portland DC Territory 3,45.5152,-122.6784,True
SO0016,R01,West Region,MU0102,Pacific Market Unit,DC010202,Portland DC,T0016,Portland DC Territory 4,45.5152,-122.6784,True
SO0017,R02,Central Region,MU0201,Midwest Market Unit,DC020101,Chicago DC,T0017,Chicago DC Territory 1,41.8781,-87.6298,True
SO0018,R02,Central Region,MU0201,Midwest Market Unit,DC020101,Chicago DC,T0018,Chicago DC Territory 2,41.8781,-87.6298,True
SO0019,R02,Central Region,MU0201,Midwest Market Unit,DC020101,Chicago DC,T0019,Chicago DC Territory 3,41.8781,-87.6298,True
SO0020,R02,Central Region,MU0201,Midwest Market Unit,DC020101,Chicago DC,T0020,Chicago DC Territory 4,41.8781,-87.6298,True
SO0021,R02,Central Region,MU0201,Midwest Market Unit,DC020102,Detroit DC,T0021,Detroit DC Territory 1,42.3314,-83.0458,True
SO0022,R02,Central Region,MU0201,Midwest Market Unit,DC020102,Detroit DC,T0022,Detroit DC Territory 2,42.3314,-83.0458,True
SO0023,R02,Central Region,MU0201,Midwest Market Unit,DC020102,Detroit DC,T0023,Detroit DC Territory 3,42.3314,-83.0458,True
SO0024,R02,Central Region,MU0201,Midwest Market Unit,DC020102,Detroit DC,T0024,Detroit DC Territory 4,42.3314,-83.0458,True
SO0025,R02,Central Region,MU0202,Southern Plains Market Unit,DC020201,Dallas DC,T0025,Dallas DC Territory 1,32.7767,-96.797,True
SO0026,R02,Central Region,MU0202,Southern Plains Market Unit,DC020201,Dallas DC,T0026,Dallas DC Territory 2,32.7767,-96.797,True
