vehicle_id,truck_number,sales_organization_id,vehicle_type,vehicle_class,capacity_cases,fuel_type,expected_mpg,model_year,active_flag
VEH00001,TRK-0001,SO0001,Straight Truck,Heavy Duty,688,Diesel,6.41,2018,True
VEH00002,TRK-0002,SO0001,Straight Truck,Heavy Duty,1402,Diesel,7.72,2019,True
VEH00003,TRK-0003,SO0001,Straight Truck,Medium Duty,1614,Diesel,6.95,2020,True
VEH00004,TRK-0004,SO0001,Tractor Trailer,Medium Duty,1059,Diesel,7.45,2025,True
VEH00005,TRK-0005,SO0002,Tractor Trailer,Medium Duty,610,Diesel,7.88,2024,True
VEH00006,TRK-0006,SO0002,Tractor Trailer,Medium Duty,1132,Diesel,7.53,2021,True
VEH00007,TRK-0007,SO0002,Tractor Trailer,Medium Duty,1494,Diesel,8.52,2021,True
VEH00008,TRK-0008,SO0002,Tractor Trailer,Heavy Duty,1156,Diesel,10.02,2025,True
VEH00009,TRK-0009,SO0003,Straight Truck,Heavy Duty,1665,Diesel,6.99,2024,True
VEH00010,TRK-0010,SO0003,Straight Truck,Medium Duty,1310,Diesel,8.74,2025,True
VEH00011,TRK-0011,SO0003,Box Truck,Medium Duty,706,Diesel,7.57,2021,True
VEH00012,TRK-0012,SO0003,Tractor Trailer,Heavy Duty,816,Diesel,6.0,2022,True
VEH00013,TRK-0013,SO0004,Tractor Trailer,Medium Duty,1355,Diesel,8.93,2026,True
VEH00014,TRK-0014,SO0004,Tractor Trailer,Heavy Duty,646,Diesel,6.93,2022,True
VEH00015,TRK-0015,SO0004,Tractor Trailer,Medium Duty,1101,Diesel,8.54,2019,True
VEH00016,TRK-0016,SO0004,Box Truck,Medium Duty,653,Diesel,9.61,2024,True
VEH00017,TRK-0017,SO0005,Tractor Trailer,Medium Duty,1488,Diesel,9.32,2023,True
VEH00018,TRK-0018,SO0005,Box Truck,Heavy Duty,1107,Diesel,7.24,2021,True
VEH00019,TRK-0019,SO0005,Straight Truck,Medium Duty,812,Diesel,7.8,2026,True
VEH00020,TRK-0020,SO0005,Box Truck,Medium Duty,1275,Diesel,6.21,2025,True
VEH00021,TRK-0021,SO0006,Box Truck,Medium Duty,1549,Diesel,10.1,2026,True
VEH00022,TRK-0022,SO0006,Tractor Trailer,Medium Duty,1143,Diesel,10.11,2021,True
VEH00023,TRK-0023,SO0006,Tractor Trailer,Medium Duty,892,Diesel,7.91,2018,True
VEH00024,TRK-0024,SO0006,Tractor Trailer,Medium Duty,884,Diesel,8.72,2025,True
VEH00025,TRK-0025,SO0007,Box Truck,Medium Duty,1493,Diesel,6.21,2025,True
VEH00026,TRK-0026,SO0007,Straight Truck,Heavy Duty,1324,Diesel,6.83,2019,True
VEH00027,TRK-0027,SO0007,Tractor Trailer,Medium Duty,751,Diesel,9.39,2022,True
VEH00028,TRK-0028,SO0007,Straight Truck,Medium Duty,1631,Diesel,8.62,2021,True
VEH00029,TRK-0029,SO0008,Straight Truck,Heavy Duty,1333,Diesel,9.91,2021,True
VEH00030,TRK-0030,SO0008,Straight Truck,Heavy Duty,669,Diesel,8.2,2018,True
VEH00031,TRK-0031,SO0008,Tractor Trailer,Heavy Duty,1619,Diesel,8.29,2021,True
VEH00032,TRK-0032,SO0008,Straight Truck,Medium Duty,1572,Diesel,6.98,2023,True
VEH00033,TRK-0033,SO0009,Straight Truck,Medium Duty,1045,Diesel,7.75,2018,True
VEH00034,TRK-0034,SO0009,Tractor Trailer,Heavy Duty,1237,Diesel,10.18,2023,True
VEH00035,TRK-0035,SO0009,Straight Truck,Medium Duty,1771,Diesel,10.29,2018,True
VEH00036,TRK-0036,SO0009,Straight Truck,Heavy Duty,968,Diesel,7.19,2025,True
VEH00037,TRK-0037,SO0010,Straight Truck,Heavy Duty,1166,Diesel,8.18,2020,True
VEH00038,TRK-0038,SO0010,Tractor Trailer,Medium Duty,1623,Diesel,9.06,2019,True
VEH00039,TRK-0039,SO0010,Tractor Trailer,Medium Duty,1122,Diesel,10.44,2023,True
VEH00040,TRK-0040,SO0010,Box Truck,Medium Duty,1669,Diesel,8.54,2024,True
VEH00041,TRK-0041,SO0011,Tractor Trailer,Medium Duty,1418,Diesel,6.1,2026,True
VEH00042,TRK-0042,SO0011,Box Truck,Medium Duty,1454,Diesel,6.87,2019,True
VEH00043,TRK-0043,SO0011,Tractor Trailer,Medium Duty,1281,Diesel,7.98,2019,True
VEH00044,TRK-0044,SO0011,Tractor Trailer,Heavy Duty,1728,Diesel,8.28,2019,True
VEH00045,TRK-0045,SO0012,Tractor Trailer,Medium Duty,1539,Diesel,8.91,2022,True
VEH00046,TRK-0046,SO0012,Straight Truck,Medium Duty,980,Diesel,10.35,2020,True
VEH00047,TRK-0047,SO0012,Box Truck,Heavy Duty,1471,Diesel,6.85,2018,True
VEH00048,TRK-0048,SO0012,Straight Truck,Heavy Duty,1328,Diesel,7.92,2025,True
VEH00049,TRK-0049,SO0013,Tractor Trailer,Medium Duty,939,Diesel,7.34,2022,True
VEH00050,TRK-0050,SO0013,Tractor Trailer,Medium Duty,665,Diesel,7.71,2020,True
VEH00051,TRK-0051,SO0013,Box Truck,Medium Duty,643,Diesel,6.38,2020,True
VEH00052,TRK-0052,SO0013,Tractor Trailer,Heavy Duty,949,Diesel,7.67,2019,True
VEH00053,TRK-0053,SO0014,Box Truck,Medium Duty,1075,Diesel,10.38,2024,True
VEH00054,TRK-0054,SO0014,Box Truck,Medium Duty,714,Diesel,6.9,2021,True
VEH00055,TRK-0055,SO0014,Straight Truck,Medium Duty,1288,Diesel,9.76,2020,True
VEH00056,TRK-0056,SO0014,Tractor Trailer,Medium Duty,1670,Diesel,10.38,2026,True
VEH00057,TRK-0057,SO0015,Straight Truck,Heavy Duty,913,Diesel,6.58,2020,True
VEH00058,TRK-0058,SO0015,Box Truck,Medium Duty,942,Diesel,7.97,2026,True
VEH00059,TRK-0059,SO0015,Box Truck,Heavy Duty,1435,Diesel,9.47,2019,True
VEH00060,TRK-0060,SO0015,Tractor Trailer,Medium Duty,1219,Diesel,8.63,2024,True
VEH00061,TRK-0061,SO0016,Tractor Trailer,Heavy Duty,1259,Diesel,6.73,2018,True
VEH00062,TRK-0062,SO0016,Tractor Trailer,Medium Duty,905,Diesel,10.28,2023,True
VEH00063,TRK-0063,SO0016,Straight Truck,Medium Duty,1176,Diesel,7.95,2024,True
VEH00064,TRK-0064,SO0016,Straight Truck,Heavy Duty,1731,Diesel,7.55,2018,True
VEH00065,TRK-0065,SO0017,Straight Truck,Medium Duty,1428,Diesel,8.33,2021,True
VEH00066,TRK-0066,SO0017,Straight Truck,Medium Duty,1412,Diesel,9.79,2020,True
VEH00067,TRK-0067,SO0017,Box Truck,Heavy Duty,1239,Diesel,6.96,2019,True
VEH00068,TRK-0068,SO0017,Box Truck,Medium Duty,1267,Diesel,9.62,2018,True
VEH00069,TRK-0069,SO0018,Straight Truck,Medium Duty,1572,Diesel,8.83,2020,True
VEH00070,TRK-0070,SO0018,Straight Truck,Heavy Duty,1155,Diesel,8.32,2023,True
VEH00071,TRK-0071,SO0018,Straight Truck,Heavy Duty,1413,Diesel,7.89,2018,True
VEH00072,TRK-0072,SO0018,Box Truck,Medium Duty,1524,Diesel,7.94,2022,True
VEH00073,TRK-0073,SO0019,Box Truck,Medium Duty,766,Diesel,6.28,2019,True
VEH00074,TRK-0074,SO0019,Box Truck,Medium Duty,1626,Diesel,8.13,2020,True
VEH00075,TRK-0075,SO0019,Tractor Trailer,Medium Duty,1513,Diesel,9.56,2025,True
VEH00076,TRK-0076,SO0019,Box Truck,Medium Duty,1772,Diesel,6.92,2024,True
VEH00077,TRK-0077,SO0020,Box Truck,Heavy Duty,1301,Diesel,7.36,2019,True
VEH00078,TRK-0078,SO0020,Tractor Trailer,Heavy Duty,1314,Diesel,8.6,2026,True
VEH00079,TRK-0079,SO0020,Box Truck,Heavy Duty,676,Diesel,8.73,2023,True
VEH00080,TRK-0080,SO0020,Straight Truck,Medium Duty,1129,Diesel,10.36,2018,True
VEH00081,TRK-0081,SO0021,Straight Truck,Medium Duty,1438,Diesel,9.54,2023,True
VEH00082,TRK-0082,SO0021,Tractor Trailer,Heavy Duty,991,Diesel,7.04,2020,True
VEH00083,TRK-0083,SO0021,Tractor Trailer,Heavy Duty,772,Diesel,7.21,2025,True
VEH00084,TRK-0084,SO0021,Tractor Trailer,Medium Duty,1009,Diesel,10.47,2024,True
VEH00085,TRK-0085,SO0022,Straight Truck,Heavy Duty,954,Diesel,6.81,2023,True
VEH00086,TRK-0086,SO0022,Box Truck,Medium Duty,1138,Diesel,8.58,2026,True
VEH00087,TRK-0087,SO0022,Tractor Trailer,Heavy Duty,1114,Diesel,9.74,2022,True
VEH00088,TRK-0088,SO0022,Tractor Trailer,Medium Duty,1432,Diesel,8.16,2025,True
VEH00089,TRK-0089,SO0023,Straight Truck,Medium Duty,683,Diesel,9.49,2023,True
VEH00090,TRK-0090,SO0023,Box Truck,Heavy Duty,607,Diesel,7.83,2024,True
VEH00091,TRK-0091,SO0023,Tractor Trailer,Medium Duty,1274,Diesel,8.48,2023,True
VEH00092,TRK-0092,SO0023,Tractor Trailer,Heavy Duty,1581,Diesel,8.77,2019,True
VEH00093,TRK-0093,SO0024,Box Truck,Heavy Duty,621,Diesel,6.78,2021,True
VEH00094,TRK-0094,SO0024,Straight Truck,Heavy Duty,623,Diesel,8.75,2024,True
VEH00095,TRK-0095,SO0024,Tractor Trailer,Medium Duty,642,Diesel,10.43,2022,True
VEH00096,TRK-0096,SO0024,Box Truck,Heavy Duty,1398,Diesel,10.23,2021,True
VEH00097,TRK-0097,SO0025,Box Truck,Medium Duty,1528,Diesel,8.24,2020,True
VEH00098,TRK-0098,SO0025,Tractor Trailer,Heavy Duty,1799,Diesel,6.8,2024,True
